date,time,corrected_area,calculated_area
24-12-1988,03:56:00,0.043,0.029602018
25-12-1988,"02:47:00,04:14:00",0.04,0.034006023
27-12-1988,02:33:00,0.031,0.022796197
28-12-1988,03:26:00,0.028,0.03428094
30-12-1988,02:15:00,0.035,0.024749735
01-01-1990,02:48:00,0.041,0.047654798
02-01-1990,02:15:00,0.055,0.045829056
03-01-1990,02:24:00,0.04,0.03187171
05-01-1990,03:08:00,0.034,0.031622125
10-01-1990,02:22:00,0.025,0.032330582
11-01-1990,02:28:00,0.032,0.036424168
12-01-1990,02:39:00,0.033,0.036419872
14-01-1990,02:43:00,0.033,0.037527273
15-01-1990,"03:24:00,04:19:00",0.032,0.032319222
16-01-1990,03:06:00,0.031,0.034837521
18-01-1990,03:46:00,0.038,0.031010009
19-01-1990,02:43:00,0.043,0.0374815
20-01-1990,02:24:00,0.042,0.032872862
21-01-1990,"03:14:00,02:08:00",0.043,0.039796192
22-01-1990,02:10:00,0.046,0.018741559
23-01-1990,02:33:00,0.043,0.043030684
24-01-1990,03:17:00,0.042,0.03331322
25-01-1990,02:17:00,0.029,0.035375013
27-01-1990,02:42:00,0.037,0.034922588
28-01-1990,02:41:00,0.037,0.030600044
29-01-1990,03:39:00,0.037,0.032520856
30-01-1990,03:10:00,0.037,0.045561328
31-01-1990,04:14:00,0.032,0.032229153
01-02-1990,02:58:00,0.04,0.033708069
03-02-1990,02:17:00,0.029,0.034418715
04-02-1990,02:23:00,0.027,0.033645471
05-02-1990,02:33:00,0.025,0.038040288
07-02-1990,02:08:00,0.025,0.017746363
08-02-1990,02:21:00,0.027,0.027973737
14-02-1990,03:41:00,0.028,0.021451428
15-02-1990,03:00:00,0.03,0.021765475
16-02-1990,02:53:00,0.033,0.033593443
17-02-1990,03:06:00,0.033,0.023571436
19-02-1990,02:56:00,0.035,0.030978704
20-02-1990,02:26:00,0.039,0.030454613
21-02-1990,02:23:00,0.037,0.031969793
23-02-1990,02:14:00,0.037,0.030647699
24-02-1990,02:54:00,0.038,0.035422154
25-02-1990,04:35:00,0.039,0.04437384
26-02-1990,04:02:00,0.049,0.040325689
01-03-1990,03:04:00,0.033,0.029726872
03-03-1990,02:41:00,0.034,0.035569493
05-03-1990,02:18:00,0.028,0.022535039
06-03-1990,02:13:00,0.03,0.034778145
07-03-1990,02:17:00,0.032,0.020802229
10-03-1990,04:18:00,0.024,0.035737713
12-03-1990,03:06:00,0.025,0.024796116
14-03-1990,02:58:00,0.022,0.018122095
17-03-1990,02:12:00,0.029,0.027539971
20-03-1990,02:21:00,0.043,0.031115439
23-03-1990,02:41:00,0.039,0.031244864
24-03-1990,04:39:00,0.044,0.037158791
26-03-1990,03:15:00,0.056,0.03557321
27-03-1990,05:01:00,0.045,0.048003108
28-03-1990,03:36:00,0.041,0.035184433
29-03-1990,03:08:00,0.049,0.039291468
30-03-1990,02:24:00,0.042,0.030985774
31-03-1990,02:39:00,0.032,0.02936633
